title,label,size,price,comedy,drama,fantasy,mystery,romance,thriller,history,n_감동,n_내용,n_넘버,n_노래,n_눈물,n_마음,n_무대,n_사랑,n_생각,n_앙상블,n_연기,n_연출,n_음악,n_처음,n_최고,n_추천,n_페어,n_힐링,a_귀여운,a_따듯한,a_멋있는,a_새로운,a_슬픈,a_신나는,a_아름다운,a_아쉬운,a_예쁜,a_완벽한,a_유쾌한,a_재미있는,a_좋았던,a_즐거운,a_행복한,a_화려한,a_행복한,a_화려한
광화문연가,4,1,150000,0,0,1,0,1,0,0,1,0,6,7,0,0,10,5,4,0,9,0,0,2,8,0,0,0,0,0,9,0,1,0,6,7,0,0,0,8,10,3,4,5,4,5
그날들,4,1,160000,0,1,0,0,0,0,1,6,0,4,8,2,0,9,0,5,0,10,0,0,1,7,0,0,0,0,0,8,0,2,0,4,5,0,0,0,7,10,6,3,9,3,9
그리스,5,1,140000,0,1,0,0,0,0,1,4,0,6,7,0,0,10,0,3,5,8,2,0,0,9,0,0,0,0,0,9,2,0,0,1,7,0,3,0,8,10,5,4,6,4,6
난설,1,0,55000,0,0,0,0,1,0,1,4,0,3,7,0,0,10,6,2,5,8,0,0,1,9,0,0,0,0,0,8,0,0,0,3,6,0,1,0,10,9,4,2,7,2,7
드라큘라(Dracula: The Musical),0,1,175000,0,0,1,0,0,0,1,2,0,9,7,0,0,10,0,5,0,8,4,0,0,6,0,0,0,2,0,9,3,0,0,1,7,0,0,0,8,10,5,4,6,4,6
땡큐 베리 스트로베리,3,0,66000,0,0,1,0,1,0,0,3,0,5,8,0,0,6,0,4,0,10,0,0,2,9,0,0,0,0,0,9,2,0,0,6,7,0,1,0,8,10,4,3,5,3,5
랭보,2,0,66000,0,0,0,1,0,0,1,5,0,6,7,0,0,10,0,4,0,9,3,0,0,8,0,0,0,0,0,9,0,0,0,6,5,4,1,0,7,10,3,2,8,2,8
레드북,6,1,110000,0,0,1,0,1,0,0,0,0,10,8,0,0,7,0,0,2,5,0,0,0,9,0,0,0,0,0,8,3,0,4,0,7,0,0,0,10,9,5,2,6,2,6
레베카,4,1,140000,0,1,0,0,0,0,1,0,0,10,2,4,3,8,0,6,0,9,0,0,0,7,0,0,0,0,1,2,3,4,0,9,7,5,0,0,8,10,0,6,0,6,0
렌트,4,1,140000,0,1,0,0,1,0,0,1,0,4,8,0,3,7,9,2,0,10,0,0,0,6,0,0,0,0,0,7,0,5,0,9,8,3,0,0,6,10,0,4,0,4,0
렛미플라이,3,1,66000,0,1,0,0,0,0,1,4,0,6,5,0,0,8,0,3,0,7,0,0,0,1,0,0,0,0,2,7,0,1,0,9,6,4,0,0,8,10,3,5,0,5,0
리지,6,1,77000,0,1,0,0,0,0,1,0,0,9,4,0,0,10,0,0,0,7,0,0,0,6,0,1,5,2,5,0,0,0,0,6,3,10,0,0,9,8,4,7,0,7,0
마리앙투아네트,0,1,150000,0,0,0,0,1,0,1,0,0,8,6,0,0,10,7,4,0,9,3,1,0,2,0,0,0,0,0,6,3,4,0,9,8,5,0,0,7,10,0,1,0,1,0
마리퀴리,7,1,99000,0,1,0,0,1,0,0,0,0,9,0,0,1,5,8,10,0,6,0,0,7,0,0,0,0,0,3,0,0,5,0,6,1,8,0,0,9,10,0,7,0,7,0
맘마미아,4,1,150000,0,1,0,0,0,0,1,0,0,7,0,0,0,5,0,6,0,9,4,0,0,2,0,0,0,0,0,7,3,0,0,5,9,0,0,0,8,10,0,0,0,0,0
명동로망스,3,0,66000,0,1,0,0,0,1,0,0,0,10,7,0,0,1,2,4,0,9,0,0,0,8,5,6,0,0,0,2,1,0,0,8,7,4,0,0,10,9,3,6,0,6,0
모차르트,4,1,170000,0,0,0,1,0,0,1,0,2,10,7,0,0,0,5,3,0,8,0,0,1,9,4,6,0,0,0,6,7,0,0,3,8,0,2,0,10,9,5,4,0,4,0
베르나르다 알바,7,0,88000,0,0,0,1,0,0,1,0,0,10,3,0,0,0,6,1,0,9,0,0,0,8,5,2,0,0,0,4,5,1,0,6,8,0,0,0,10,9,2,7,0,7,0
베르테르,1,1,140000,1,1,0,0,0,0,0,0,0,10,5,0,0,3,7,0,0,6,0,0,0,8,1,9,0,2,0,7,0,1,0,3,8,0,0,0,10,9,5,6,0,6,0
벤허,0,1,140000,0,1,0,0,1,0,0,7,0,4,0,5,6,2,0,8,0,10,0,0,0,3,0,0,1,3,8,0,0,5,0,2,6,4,0,0,10,9,0,7,0,7,0
브로드웨이42번가,5,1,140000,0,1,1,0,0,0,0,8,0,10,0,5,2,0,9,6,0,7,0,0,0,3,0,0,0,0,10,0,0,2,0,6,1,5,0,0,8,9,3,7,0,7,0
빈센트 반 고흐,1,0,66000,1,1,0,0,0,0,0,5,1,8,6,0,3,0,0,9,0,7,0,0,0,0,10,0,0,0,8,3,0,1,0,2,5,0,0,0,9,10,7,6,0,6,0
빌리엘리어트,7,1,150000,0,1,0,0,1,0,0,10,1,0,8,0,5,0,0,6,0,9,0,0,0,3,0,0,2,0,8,3,1,0,0,0,2,4,0,0,9,10,6,5,0,5,0
빨래,3,0,66000,1,1,0,0,0,0,0,8,0,9,0,7,0,0,0,5,0,4,0,0,0,6,2,0,1,3,5,1,0,7,2,0,4,0,0,0,10,9,6,8,0,8,0
사의찬미,2,0,66000,0,0,0,1,0,0,1,4,0,7,0,8,0,0,0,6,0,9,0,0,0,5,2,0,0,0,8,4,1,3,0,0,7,0,0,0,9,10,5,6,0,6,0
스위니토드,4,1,150000,0,0,1,0,1,0,0,7,0,0,10,0,0,5,0,4,0,9,0,0,0,2,0,0,0,0,0,7,0,0,1,2,4,0,0,0,9,10,8,6,0,6,0
시데레우스,1,1,66000,0,0,0,1,1,0,0,8,0,0,10,0,0,6,2,5,0,9,0,1,3,7,0,0,0,0,0,8,4,0,0,2,6,0,0,0,9,10,7,5,1,5,1
시카고,5,1,140000,0,0,0,0,1,1,0,5,0,6,8,0,0,7,0,4,0,9,0,0,2,10,0,0,0,0,0,9,4,0,0,1,7,0,3,0,8,10,6,5,2,5,2
썸씽로튼,6,1,140000,0,1,0,0,1,0,0,2,3,6,10,0,0,5,8,9,0,7,0,0,1,4,0,0,0,0,0,7,0,0,4,1,8,0,0,0,9,10,6,5,0,5,0
아랑가,1,0,66000,1,0,0,0,1,0,0,5,0,0,10,0,0,6,0,3,0,7,0,1,2,8,0,0,0,0,0,6,0,0,7,0,4,0,0,2,8,10,9,5,0,6,0
아이다,0,1,150000,0,1,0,0,0,0,1,5,0,8,10,0,0,7,1,4,0,9,0,3,2,6,0,0,0,0,0,9,6,0,0,3,8,0,1,0,7,10,4,5,2,5,0
엑스칼리버,0,1,150000,1,0,0,0,0,1,0,0,2,6,7,0,0,9,0,5,3,10,0,0,4,8,0,1,0,1,0,8,4,0,0,0,7,0,3,0,10,9,6,5,0,5,2
엘리자벳,0,1,150000,0,0,0,0,1,1,0,6,0,1,8,0,0,7,0,5,0,10,0,0,4,9,0,0,0,0,0,9,4,0,0,1,7,0,2,0,8,10,6,5,0,5,0
영웅,7,1,150000,1,0,0,0,1,0,0,2,0,1,9,0,0,5,6,3,0,8,0,0,4,10,0,0,0,0,0,8,2,1,4,0,6,3,0,0,10,9,5,7,0,7,0
웃는남자,0,1,150000,1,0,0,0,1,0,0,0,1,0,10,0,0,9,0,7,0,8,0,0,5,0,6,0,0,0,0,6,0,0,10,0,5,0,0,4,9,7,8,1,3,5,0
이토록 보통의,1,0,60000,1,1,0,0,0,0,0,0,0,0,8,0,0,9,0,6,4,7,0,0,2,5,0,0,0,0,0,7,0,0,5,0,4,0,0,1,8,6,9,3,10,2,3
전설의 리틀 농구단,3,1,66000,1,0,0,0,0,1,0,0,0,0,7,0,0,10,0,6,4,9,0,3,5,8,0,0,0,0,0,8,0,0,4,0,5,0,0,0,10,9,7,3,6,5,0
젠틀맨스가이드,6,1,110000,1,0,0,0,1,0,0,3,1,10,6,0,0,2,4,5,0,8,0,0,0,9,0,0,0,3,0,6,0,0,0,0,5,0,0,2,10,9,7,8,0,7,0
지킬앤하이드,4,1,150000,0,0,0,1,0,1,0,0,0,9,6,0,0,5,3,0,0,4,0,0,0,10,7,0,0,0,0,6,0,0,7,0,8,0,0,0,10,9,5,4,0,1,3
차미,6,0,66000,0,1,0,0,0,0,1,0,0,10,7,0,0,3,0,4,5,8,0,0,0,9,6,0,0,2,0,3,0,0,7,0,5,0,0,6,10,9,8,4,1,3,10
쿠로이 저택엔 누가 살고 있을까?,6,0,66000,1,0,0,0,0,1,0,0,0,4,9,0,0,6,0,3,1,10,0,0,0,8,2,7,0,3,0,5,0,0,1,0,6,2,0,7,10,8,9,4,0,3,6
킹아더,0,1,110000,1,0,0,0,1,0,0,0,3,10,5,0,0,2,9,7,0,6,0,0,0,8,1,0,4,5,3,0,0,0,0,0,4,0,0,7,10,9,8,6,0,8,0
팬레터,2,1,77000,0,0,1,0,0,0,1,8,0,10,2,0,0,0,4,0,0,6,0,0,0,9,7,0,5,3,4,0,0,0,1,0,5,0,0,6,10,8,9,7,0,4,0
포미니츠,1,0,70000,0,0,0,1,0,0,1,6,0,8,2,3,0,4,1,7,0,9,0,0,0,10,0,0,0,0,0,7,5,3,0,1,8,0,0,0,9,10,0,6,0,4,1
해적,2,0,66000,0,0,0,0,1,0,1,0,0,0,1,0,0,9,0,0,0,8,5,0,0,10,3,0,0,0,0,10,0,0,0,0,8,0,0,0,7,9,0,5,0,4,0
헤드윅,4,1,110000,1,1,0,0,0,0,0,9,0,0,0,1,0,6,7,4,0,5,0,0,0,10,2,0,0,0,0,6,0,0,0,3,5,1,2,0,8,9,4,7,0,6,0
호프: 읽히지 않은 책과 읽히지 않은 인생,3,1,88000,0,1,0,0,0,0,1,9,0,0,6,1,0,7,0,8,0,5,0,0,0,4,0,0,0,0,0,9,0,0,0,0,8,0,0,0,7,10,5,2,3,7,0
